measure,sex,age,risk,year,val,upper,lower
Deaths,Female,40 to 44,Alcohol use,1992,0.115815088,0.18433697,0.062397131
Deaths,Female,40 to 44,Occupational exposure to formaldehyde,1992,0.020982758,0.056539836,0.000637066
Deaths,Both,40 to 44,Tobacco,1992,0.434773408,0.627032356,0.235473813
Deaths,Both,40 to 44,Alcohol use,1992,0.693950494,0.898643653,0.522890252
Deaths,Both,40 to 44,Occupational exposure to formaldehyde,1992,0.036276162,0.076636811,0.008754676
Deaths,Male,45 to 49,Tobacco,1992,1.299307968,1.80964079,0.803489916
Deaths,Male,45 to 49,Alcohol use,1992,1.674316498,2.122913565,1.264825643
Deaths,Male,45 to 49,Occupational exposure to formaldehyde,1992,0.05523475,0.140692872,0.002776577
Deaths,Female,45 to 49,Tobacco,1992,0.047311954,0.082678025,0.020220248
Deaths,Female,45 to 49,Alcohol use,1992,0.146538677,0.234633776,0.082813261
Deaths,Female,45 to 49,Occupational exposure to formaldehyde,1992,0.020020662,0.051801217,0.000679982
Deaths,Both,45 to 49,Tobacco,1992,0.697846769,0.969978487,0.431921931
Deaths,Both,45 to 49,Alcohol use,1992,0.940369209,1.199109526,0.705941986
Deaths,Both,45 to 49,Occupational exposure to formaldehyde,1992,0.038317837,0.083223206,0.007490756
Deaths,Male,50 to 54,Tobacco,1992,2.032595933,2.724569861,1.334360428
Deaths,Male,50 to 54,Alcohol use,1992,2.346044259,2.995967668,1.731527249
Deaths,Male,50 to 54,Occupational exposure to formaldehyde,1992,0.037761288,0.096535981,0.001426859
Deaths,Female,50 to 54,Tobacco,1992,0.083913542,0.139192481,0.038094267
Deaths,Female,50 to 54,Alcohol use,1992,0.226699906,0.355496434,0.126775406
Deaths,Female,50 to 54,Occupational exposure to formaldehyde,1992,0.014407275,0.038879302,0.000458568
Deaths,Both,50 to 54,Tobacco,1992,1.096086009,1.473056012,0.715623635
Deaths,Both,50 to 54,Alcohol use,1992,1.327516546,1.687966499,0.982619808
Deaths,Both,50 to 54,Occupational exposure to formaldehyde,1992,0.026537671,0.061327252,0.005030806
Deaths,Male,55 to 59,Tobacco,1992,3.043947027,4.130804376,2.056825415
Deaths,Male,55 to 59,Alcohol use,1992,3.245504332,4.158382167,2.441338171
Deaths,Male,55 to 59,Occupational exposure to formaldehyde,1992,0.047943142,0.127784438,0.004126392
Deaths,Female,55 to 59,Tobacco,1992,0.134636914,0.216321775,0.068289784
Deaths,Female,55 to 59,Alcohol use,1992,0.283858033,0.452906975,0.163703001
Deaths,Female,55 to 59,Occupational exposure to formaldehyde,1992,0.015747442,0.0414354,0.000329608
Deaths,Both,55 to 59,Tobacco,1992,1.630596201,2.192580633,1.120878501
Deaths,Both,55 to 59,Alcohol use,1992,1.806728444,2.32917982,1.352629248
Deaths,Both,55 to 59,Occupational exposure to formaldehyde,1992,0.032302383,0.073990819,0.00641699
Deaths,Male,60 to 64,Tobacco,1992,3.431563192,4.496931559,2.455973666
Deaths,Male,60 to 64,Alcohol use,1992,3.257354454,4.181349582,2.412709622
Deaths,Male,60 to 64,Occupational exposure to formaldehyde,1992,0.03633221,0.096114131,0.000663437
Deaths,Female,60 to 64,Tobacco,1992,0.206561321,0.345016092,0.111773687
Deaths,Female,60 to 64,Alcohol use,1992,0.366160685,0.576722059,0.205126518
Deaths,Female,60 to 64,Occupational exposure to formaldehyde,1992,0.014753403,0.037955286,0.000782344
Deaths,Both,60 to 64,Tobacco,1992,1.853925451,2.420939751,1.328024277
Deaths,Both,60 to 64,Alcohol use,1992,1.843012203,2.365747887,1.359629179
Deaths,Both,60 to 64,Occupational exposure to formaldehyde,1992,0.02577608,0.058966042,0.005635713
Deaths,Male,65 to 69,Tobacco,1992,4.014471057,5.188588266,2.884262273
Deaths,Male,65 to 69,Alcohol use,1992,3.529015684,4.537518348,2.637930046
Deaths,Male,65 to 69,Occupational exposure to formaldehyde,1992,0.024579642,0.063181024,0.001000332
Deaths,Female,65 to 69,Tobacco,1992,0.299013563,0.492303839,0.162218726
Deaths,Female,65 to 69,Alcohol use,1992,0.393407905,0.6253528,0.209826726
Deaths,Female,65 to 69,Occupational exposure to formaldehyde,1992,0.009785966,0.025114936,0.000312344
Deaths,Both,65 to 69,Tobacco,1992,2.138064921,2.78104641,1.524254528
Deaths,Both,65 to 69,Alcohol use,1992,1.945449277,2.501312249,1.429652467
Deaths,Both,65 to 69,Occupational exposure to formaldehyde,1992,0.017108437,0.037502317,0.003787408
Deaths,Male,70 to 74,Tobacco,1992,4.938569794,6.358435014,3.524620246
Deaths,Male,70 to 74,Alcohol use,1992,3.958630402,5.081965861,2.882812558
Deaths,Male,70 to 74,Occupational exposure to formaldehyde,1992,0.029634333,0.08174638,0.000546037
Deaths,Female,70 to 74,Tobacco,1992,0.401795817,0.641137385,0.222354687
Deaths,Female,70 to 74,Alcohol use,1992,0.512797831,0.806656299,0.275425413
Deaths,Female,70 to 74,Occupational exposure to formaldehyde,1992,0.013540103,0.035266597,0.000412094
Deaths,Both,70 to 74,Tobacco,1992,2.537173743,3.276610986,1.812379846
Deaths,Both,70 to 74,Alcohol use,1992,2.134689255,2.759208738,1.51593299
Deaths,Both,70 to 74,Occupational exposure to formaldehyde,1992,0.021115367,0.045486692,0.00493438
Deaths,Male,75 to 79,Tobacco,1992,4.558655836,5.764183474,3.313182247
Deaths,Male,75 to 79,Alcohol use,1992,3.317736496,4.320116536,2.344198764
Deaths,Male,75 to 79,Occupational exposure to formaldehyde,1992,0.010705138,0.029341034,0.000176067
Deaths,Female,75 to 79,Tobacco,1992,0.442301692,0.747380879,0.234760018
Deaths,Female,75 to 79,Alcohol use,1992,0.556223547,0.922134743,0.285867261
Deaths,Female,75 to 79,Occupational exposure to formaldehyde,1992,0.007254251,0.018899009,0.000183691
Deaths,Both,75 to 79,Tobacco,1992,2.273633732,2.914171173,1.65657036
Deaths,Both,75 to 79,Alcohol use,1992,1.784797903,2.357452356,1.241744693
Deaths,Both,75 to 79,Occupational exposure to formaldehyde,1992,0.008789522,0.017628567,0.002213219
Deaths,Male,<1 year,Tobacco,1992,0,0,0
Deaths,Male,<1 year,Alcohol use,1992,0,0,0
Deaths,Male,<1 year,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Female,<1 year,Tobacco,1992,0,0,0
Deaths,Female,<1 year,Alcohol use,1992,0,0,0
Deaths,Female,<1 year,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Both,<1 year,Tobacco,1992,0,0,0
Deaths,Both,<1 year,Alcohol use,1992,0,0,0
Deaths,Both,<1 year,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Male,80 to 84,Tobacco,1992,5.627312805,7.110457156,4.057763236
Deaths,Male,80 to 84,Alcohol use,1992,3.592811014,4.790175641,2.466749267
Deaths,Male,80 to 84,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Female,80 to 84,Tobacco,1992,0.511679967,0.844081644,0.275017846
Deaths,Female,80 to 84,Alcohol use,1992,0.571765949,0.945869981,0.312630334
Deaths,Female,80 to 84,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Both,80 to 84,Tobacco,1992,2.64199906,3.377496957,1.894600304
Deaths,Both,80 to 84,Alcohol use,1992,1.829829259,2.423052742,1.246665288
Deaths,Both,80 to 84,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Male,85 to 89,Tobacco,1992,6.16936236,7.768366025,4.522117827
Deaths,Male,85 to 89,Alcohol use,1992,4.030666619,5.402040646,2.656053993
Deaths,Male,85 to 89,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Female,85 to 89,Tobacco,1992,0.443509514,0.767810718,0.230000093
Deaths,Female,85 to 89,Alcohol use,1992,0.700119726,1.148521025,0.377198327
Deaths,Female,85 to 89,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Both,85 to 89,Tobacco,1992,2.586731422,3.285531577,1.893092278
Deaths,Both,85 to 89,Alcohol use,1992,1.946763895,2.638354536,1.269382706
Deaths,Both,85 to 89,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Male,90 to 94,Tobacco,1992,3.905353163,5.044343286,2.743380638
Deaths,Male,90 to 94,Alcohol use,1992,2.76943365,3.632284028,1.881022388
Deaths,Male,90 to 94,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Female,90 to 94,Tobacco,1992,0.436929198,0.757731006,0.229492577
Deaths,Female,90 to 94,Alcohol use,1992,0.628993904,1.015738988,0.339450817
Deaths,Female,90 to 94,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Both,90 to 94,Tobacco,1992,1.518806879,2.019702722,1.050722124
Deaths,Both,90 to 94,Alcohol use,1992,1.296644114,1.764606135,0.856994415
Deaths,Both,90 to 94,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Male,95 plus,Tobacco,1992,4.432692943,5.807764644,3.087155207
Deaths,Male,95 plus,Alcohol use,1992,2.781668529,3.629768079,1.910237868
Deaths,Male,95 plus,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Female,95 plus,Tobacco,1992,0.504723004,0.806348803,0.284859545
Deaths,Female,95 plus,Alcohol use,1992,0.681980181,1.044195965,0.394083308
Deaths,Female,95 plus,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Both,95 plus,Tobacco,1992,1.535457825,2.056324345,1.047895772
Deaths,Both,95 plus,Alcohol use,1992,1.232957385,1.685077198,0.819582554
Deaths,Both,95 plus,Occupational exposure to formaldehyde,1992,0,0,0
Deaths,Male,15 to 19,Alcohol use,1991,0.026272847,0.041395458,0.014872234
Deaths,Male,15 to 19,Occupational exposure to formaldehyde,1991,0.001101043,0.003056287,2.08E-05
Deaths,Female,15 to 19,Alcohol use,1991,0.002683475,0.004456939,0.001387192
Deaths,Female,15 to 19,Occupational exposure to formaldehyde,1991,0.000546768,0.001464359,1.71E-05
Deaths,Both,15 to 19,Alcohol use,1991,0.014751269,0.02285427,0.008589987
Deaths,Both,15 to 19,Occupational exposure to formaldehyde,1991,0.000830323,0.001959266,0.000198986
Deaths,Male,20 to 24,Alcohol use,1991,0.093125887,0.130239357,0.061967041
Deaths,Male,20 to 24,Occupational exposure to formaldehyde,1991,0.002934968,0.007661422,0.000123917
Deaths,Female,20 to 24,Alcohol use,1991,0.007691477,0.013275023,0.004023733
Deaths,Female,20 to 24,Occupational exposure to formaldehyde,1991,0.001467536,0.003816231,4.58E-05
Deaths,Both,20 to 24,Alcohol use,1991,0.051291678,0.071436478,0.034157919
Deaths,Both,20 to 24,Occupational exposure to formaldehyde,1991,0.002216418,0.004806782,0.000550014
Deaths,Male,25 to 29,Alcohol use,1991,0.132831543,0.17493302,0.094679928
Deaths,Male,25 to 29,Occupational exposure to formaldehyde,1991,0.010596492,0.026028158,0.000268078
Deaths,Female,25 to 29,Alcohol use,1991,0.012580473,0.020856932,0.006601121
Deaths,Female,25 to 29,Occupational exposure to formaldehyde,1991,0.007411177,0.019660833,0.000279072
Deaths,Both,25 to 29,Alcohol use,1991,0.073793003,0.097983221,0.052379529
Deaths,Both,25 to 29,Occupational exposure to formaldehyde,1991,0.009032628,0.018202049,0.001986389
Deaths,Male,30 to 34,Tobacco,1991,0.077310177,0.128089012,0.030887216
Deaths,Male,30 to 34,Alcohol use,1991,0.299886666,0.395479339,0.21557896
Deaths,Male,30 to 34,Occupational exposure to formaldehyde,1991,0.016541872,0.043334879,-8.78E-05
Deaths,Female,30 to 34,Tobacco,1991,0.002392698,0.004595455,0.000786812
Deaths,Female,30 to 34,Alcohol use,1991,0.025558454,0.041216541,0.013516897
Deaths,Female,30 to 34,Occupational exposure to formaldehyde,1991,0.00870755,0.022087645,0.000599429
Deaths,Both,30 to 34,Tobacco,1991,0.040899844,0.068025343,0.016352209
Deaths,Both,30 to 34,Alcohol use,1991,0.166561552,0.218438326,0.118210248
Deaths,Both,30 to 34,Occupational exposure to formaldehyde,1991,0.012734346,0.02687639,0.00293522
Deaths,Male,35 to 39,Tobacco,1991,0.302628154,0.470079425,0.142748344
Deaths,Male,35 to 39,Alcohol use,1991,0.615419402,0.798952459,0.448437561
Deaths,Male,35 to 39,Occupational exposure to formaldehyde,1991,0.03321149,0.083513876,0.001247122
Deaths,Female,35 to 39,Tobacco,1991,0.008947014,0.017094126,0.003210628
Deaths,Female,35 to 39,Alcohol use,1991,0.062079199,0.100634267,0.032264161
Deaths,Female,35 to 39,Occupational exposure to formaldehyde,1991,0.018453257,0.050656998,0.000964291
Deaths,Both,35 to 39,Tobacco,1991,0.16021022,0.248967492,0.074914131
Deaths,Both,35 to 39,Alcohol use,1991,0.347082225,0.454621932,0.251683258
Deaths,Both,35 to 39,Occupational exposure to formaldehyde,1991,0.026054622,0.055678081,0.006210565
Deaths,Male,40 to 44,Tobacco,1991,0.822976527,1.232736674,0.459594998
Deaths,Male,40 to 44,Alcohol use,1991,1.249793682,1.619590243,0.911980545
Deaths,Male,40 to 44,Occupational exposure to formaldehyde,1991,0.050877605,0.123818661,0.003137328
Deaths,Female,40 to 44,Tobacco,1991,0.024884402,0.046449062,0.009705045
Deaths,Female,40 to 44,Alcohol use,1991,0.116738599,0.189257913,0.061536177
Deaths,Female,40 to 44,Occupational exposure to formaldehyde,1991,0.02097286,0.057971912,0.00063518
Deaths,Both,40 to 44,Tobacco,1991,0.438658078,0.653915495,0.24540129
Deaths,Both,40 to 44,Alcohol use,1991,0.704175002,0.917629523,0.517002764
Deaths,Both,40 to 44,Occupational exposure to formaldehyde,1991,0.03647708,0.075972237,0.008433203
Deaths,Male,45 to 49,Tobacco,1991,1.315992963,1.857566551,0.809073261
Deaths,Male,45 to 49,Alcohol use,1991,1.703874382,2.201646352,1.262488884
Deaths,Male,45 to 49,Occupational exposure to formaldehyde,1991,0.056109728,0.14500212,0.002517516
Deaths,Female,45 to 49,Tobacco,1991,0.047828882,0.081188296,0.020400279
Deaths,Female,45 to 49,Alcohol use,1991,0.151446541,0.250061693,0.084428019
Deaths,Female,45 to 49,Occupational exposure to formaldehyde,1991,0.020695079,0.056086968,0.000656175
Deaths,Both,45 to 49,Tobacco,1991,0.706441699,0.998407277,0.434604936
Deaths,Both,45 to 49,Alcohol use,1991,0.957689904,1.232909492,0.711168241
Deaths,Both,45 to 49,Occupational exposure to formaldehyde,1991,0.039087448,0.085258979,0.008283399
Deaths,Male,50 to 54,Tobacco,1991,2.049164818,2.783671103,1.352449836
Deaths,Male,50 to 54,Alcohol use,1991,2.375145604,3.03460624,1.757909839
Deaths,Male,50 to 54,Occupational exposure to formaldehyde,1991,0.038462697,0.101244934,0.001450516
Deaths,Female,50 to 54,Tobacco,1991,0.08400089,0.143255656,0.038681671
Deaths,Female,50 to 54,Alcohol use,1991,0.230970825,0.376715621,0.126052141
Deaths,Female,50 to 54,Occupational exposure to formaldehyde,1991,0.014810587,0.040975331,0.000456059
Deaths,Both,50 to 54,Tobacco,1991,1.10486786,1.493822168,0.722363925
Deaths,Both,50 to 54,Alcohol use,1991,1.344830681,1.738937858,0.986091871
Deaths,Both,50 to 54,Occupational exposure to formaldehyde,1991,0.027097429,0.061069843,0.005428682
Deaths,Male,55 to 59,Tobacco,1991,3.062542017,4.126080975,2.059698967
Deaths,Male,55 to 59,Alcohol use,1991,3.272481168,4.200907865,2.373399193
Deaths,Male,55 to 59,Occupational exposure to formaldehyde,1991,0.047839076,0.12548106,0.003902092
Deaths,Female,55 to 59,Tobacco,1991,0.135270842,0.222693261,0.067346946
Deaths,Female,55 to 59,Alcohol use,1991,0.291345086,0.468750671,0.16076809
Deaths,Female,55 to 59,Occupational exposure to formaldehyde,1991,0.015960671,0.043282654,0.000311679
Deaths,Both,55 to 59,Tobacco,1991,1.643875484,2.214767172,1.111098602
Deaths,Both,55 to 59,Alcohol use,1991,1.82770966,2.376184129,1.329511014
Deaths,Both,55 to 59,Occupational exposure to formaldehyde,1991,0.032389593,0.073654148,0.006693313
Deaths,Male,60 to 64,Tobacco,1991,3.465764701,4.538761746,2.455627049
Deaths,Male,60 to 64,Alcohol use,1991,3.304578703,4.253194099,2.403576082
Deaths,Male,60 to 64,Occupational exposure to formaldehyde,1991,0.036790052,0.096358231,0.00073729
Deaths,Female,60 to 64,Tobacco,1991,0.205517303,0.348574341,0.111521678
Deaths,Female,60 to 64,Alcohol use,1991,0.369439401,0.605618673,0.202947657
Deaths,Female,60 to 64,Occupational exposure to formaldehyde,1991,0.014883971,0.037167352,0.000795349
Deaths,Both,60 to 64,Tobacco,1991,1.871261865,2.462577469,1.315374332
Deaths,Both,60 to 64,Alcohol use,1991,1.869077844,2.416467969,1.349929301
Deaths,Both,60 to 64,Occupational exposure to formaldehyde,1991,0.026076354,0.058653188,0.005479949
Deaths,Male,65 to 69,Tobacco,1991,4.083697109,5.230816618,2.855392776
Deaths,Male,65 to 69,Alcohol use,1991,3.607909919,4.697186795,2.648632387
Deaths,Male,65 to 69,Occupational exposure to formaldehyde,1991,0.024765315,0.065833153,0.001084453
Deaths,Female,65 to 69,Tobacco,1991,0.297835088,0.493896684,0.163831664
Deaths,Female,65 to 69,Alcohol use,1991,0.400591532,0.637312328,0.213492403
Deaths,Female,65 to 69,Occupational exposure to formaldehyde,1991,0.009880434,0.025968753,0.000317081
Deaths,Both,65 to 69,Tobacco,1991,2.164015374,2.800117694,1.53464254
Deaths,Both,65 to 69,Alcohol use,1991,1.981587964,2.597706667,1.443401984
Deaths,Both,65 to 69,Occupational exposure to formaldehyde,1991,0.017217698,0.038386178,0.003840349
Deaths,Male,70 to 74,Tobacco,1991,4.976409856,6.348571322,3.613733129
Deaths,Male,70 to 74,Alcohol use,1991,3.999725564,5.232375869,2.905317576
Deaths,Male,70 to 74,Occupational exposure to formaldehyde,1991,0.029556364,0.079987782,0.000556051
Deaths,Female,70 to 74,Tobacco,1991,0.395171983,0.636046771,0.214305039
Deaths,Female,70 to 74,Alcohol use,1991,0.50677914,0.841483007,0.264201783
Deaths,Female,70 to 74,Occupational exposure to formaldehyde,1991,0.013388155,0.035444054,0.000418882
Deaths,Both,70 to 74,Tobacco,1991,2.546893111,3.268288182,1.854198151
Deaths,Both,70 to 74,Alcohol use,1991,2.147350275,2.806849001,1.52227092
Deaths,Both,70 to 74,Occupational exposure to formaldehyde,1991,0.020982058,0.045208478,0.005131395
Deaths,Male,75 to 79,Tobacco,1991,4.579589651,5.849227335,3.363611764
Deaths,Male,75 to 79,Alcohol use,1991,3.334008242,4.388495925,2.337917909
Deaths,Male,75 to 79,Occupational exposure to formaldehyde,1991,0.010662056,0.029114417,0.000181543
Deaths,Female,75 to 79,Tobacco,1991,0.433458129,0.756398151,0.227270358
Deaths,Female,75 to 79,Alcohol use,1991,0.542393821,0.903137536,0.271879616
Deaths,Female,75 to 79,Occupational exposure to formaldehyde,1991,0.007092139,0.018381574,0.000194881
Deaths,Both,75 to 79,Tobacco,1991,2.275845553,2.931616636,1.661510996
Deaths,Both,75 to 79,Alcohol use,1991,1.782883968,2.372767477,1.230039124
Deaths,Both,75 to 79,Occupational exposure to formaldehyde,1991,0.008678478,0.017734476,0.002038988
Deaths,Male,<1 year,Tobacco,1991,0,0,0
Deaths,Male,<1 year,Alcohol use,1991,0,0,0
Deaths,Male,<1 year,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Female,<1 year,Tobacco,1991,0,0,0
Deaths,Female,<1 year,Alcohol use,1991,0,0,0
Deaths,Female,<1 year,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Both,<1 year,Tobacco,1991,0,0,0
Deaths,Both,<1 year,Alcohol use,1991,0,0,0
Deaths,Both,<1 year,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Male,80 to 84,Tobacco,1991,5.576654657,7.112117067,4.030495103
Deaths,Male,80 to 84,Alcohol use,1991,3.537068378,4.697730874,2.44315129
Deaths,Male,80 to 84,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Female,80 to 84,Tobacco,1991,0.504133536,0.844529789,0.265419014
Deaths,Female,80 to 84,Alcohol use,1991,0.560870818,0.959546749,0.300104229
Deaths,Female,80 to 84,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Both,80 to 84,Tobacco,1991,2.616144001,3.320821498,1.876882789
Deaths,Both,80 to 84,Alcohol use,1991,1.80004957,2.384640018,1.209454445
Deaths,Both,80 to 84,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Male,85 to 89,Tobacco,1991,6.110734436,7.745509655,4.528945521
Deaths,Male,85 to 89,Alcohol use,1991,3.984013988,5.370769462,2.662505736
Deaths,Male,85 to 89,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Female,85 to 89,Tobacco,1991,0.441742975,0.785561813,0.222310128
Deaths,Female,85 to 89,Alcohol use,1991,0.684882597,1.15009397,0.363951596
Deaths,Female,85 to 89,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Both,85 to 89,Tobacco,1991,2.561769087,3.255585064,1.853408967
Deaths,Both,85 to 89,Alcohol use,1991,1.918654908,2.623896595,1.264079797
Deaths,Both,85 to 89,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Male,90 to 94,Tobacco,1991,3.841643447,4.990416903,2.66983117
Deaths,Male,90 to 94,Alcohol use,1991,2.723748729,3.58467481,1.854556377
Deaths,Male,90 to 94,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Female,90 to 94,Tobacco,1991,0.432171499,0.768164193,0.224039707
Deaths,Female,90 to 94,Alcohol use,1991,0.612160303,1.004923197,0.329743932
Deaths,Female,90 to 94,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Both,90 to 94,Tobacco,1991,1.494214164,1.996670113,1.022417639
Deaths,Both,90 to 94,Alcohol use,1991,1.269915238,1.738699023,0.832127089
Deaths,Both,90 to 94,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Male,95 plus,Tobacco,1991,4.36242463,5.736172756,3.011586733
Deaths,Male,95 plus,Alcohol use,1991,2.745729054,3.595350849,1.89757365
Deaths,Male,95 plus,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Female,95 plus,Tobacco,1991,0.511450287,0.820142832,0.285644495
Deaths,Female,95 plus,Alcohol use,1991,0.674849421,1.060320428,0.381669199
Deaths,Female,95 plus,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Both,95 plus,Tobacco,1991,1.519260313,2.044090824,1.027100407
Deaths,Both,95 plus,Alcohol use,1991,1.21680402,1.669239833,0.799584542
Deaths,Both,95 plus,Occupational exposure to formaldehyde,1991,0,0,0
Deaths,Male,15 to 19,Alcohol use,1990,0.026119524,0.040421717,0.01463518
Deaths,Male,15 to 19,Occupational exposure to formaldehyde,1990,0.001101898,0.002950435,2.01E-05
Deaths,Female,15 to 19,Alcohol use,1990,0.002712643,0.00455181,0.001399659
Deaths,Female,15 to 19,Occupational exposure to formaldehyde,1990,0.000552004,0.001470053,1.66E-05
Deaths,Both,15 to 19,Alcohol use,1990,0.014701538,0.022523136,0.008457752
Deaths,Both,15 to 19,Occupational exposure to formaldehyde,1990,0.000833658,0.001957888,0.000190807
Deaths,Male,20 to 24,Alcohol use,1990,0.093446145,0.132842494,0.061515961
Deaths,Male,20 to 24,Occupational exposure to formaldehyde,1990,0.002937756,0.007899304,0.000134265
Deaths,Female,20 to 24,Alcohol use,1990,0.007772419,0.013622478,0.003951942
Deaths,Female,20 to 24,Occupational exposure to formaldehyde,1990,0.001490297,0.003865808,4.73E-05
Deaths,Both,20 to 24,Alcohol use,1990,0.051373421,0.072433203,0.033646276
Deaths,Both,20 to 24,Occupational exposure to formaldehyde,1990,0.002226937,0.004956131,0.000564109
Deaths,Male,25 to 29,Alcohol use,1990,0.133080279,0.177986733,0.094578245
Deaths,Male,25 to 29,Occupational exposure to formaldehyde,1990,0.010629888,0.025922817,0.00025999
Deaths,Female,25 to 29,Alcohol use,1990,0.012691903,0.021324362,0.006610295
Deaths,Female,25 to 29,Occupational exposure to formaldehyde,1990,0.007442947,0.019398468,0.000276525
Deaths,Both,25 to 29,Alcohol use,1990,0.073918335,0.098075993,0.051907362
Deaths,Both,25 to 29,Occupational exposure to formaldehyde,1990,0.009063743,0.018490562,0.002046061
